id,lang,value
"title","en","Breast Mammography Classification with Ipsilateral Multi-view model"
"title","id","KLASIFIKASI GAMBAR CITRA MEDIS MAMOGRAFI BERBASIS CONVOLUTIONAL NEURAL NETWORKS (CNNs) DENGAN ARSITEKTUR MODEL MULTI-VIEW"
"subtitle","en","view models on"
"subtitle","id","lihat model pada"
"file_upload_label","en","Input DICOM files (2 Ipsilateral view images)"
"file_upload_label","id","Masukkan file DICOM (2 gambar citra medis mamografi)"
"example_label","en","Example input DICOM files"
"example_label","id","Contoh file DICOM"
"accordion1_label","en","Model Predictions"
"accordion1_label","id","Prediksi Model"
"accordion1_desc","en","Our model will predict the mammography case into two labels : `BI-RADS` and `recommended action`. Where `BI-RADS` is the primary labels which the model trained on, and `recommended action` is a secondary label calculated from `BI-RADS` prediction."
"accordion1_desc","id","Model kami akan memprediksi kasus mamografi menjadi dua label : `BI-RADS` dan `rekomendasi tindakan`. Dimana `BI-RADS` adalah label utama yang dilatih oleh model, dan `rekomendasi tindakan` adalah label sekunder yang dihitung dari prediksi `BI-RADS`."
"predict_result_devault","en","Please click 'Predict' button to get the prediction result"
"predict_result_devault","id","Silahkan klik tombol 'Predict' untuk mendapatkan hasil prediksi"
"accordion2_label","en","DICOM Preprocessing Options"
"accordion2_label","id","Opsi Pra-Pemrosesan DICOM"
"accordion2_desc","en","Our model have (H:512, W:288 , C:3) input size, so images will always be resized to `288x512` (Width x Height),i.e, `9:16` ratio <br> * `Apply VOI LUT` : applying VOI LUT function from DICOM <br> * `Fix MONOCHROME1 interpretation` : do negative inversion if DICOM images are in MONOCHROME1 interpretation <br> * `Padding to 9:16 aspect-ratio` : padding so that the image is not distorted when resized <br> * `Breast ROI Crop` : crop breast region only from the images, reducing unused pixels"
"accordion2_desc","id","Model kami memiliki ukuran input (H:512, W:288 , C:3), sehingga gambar akan selalu diubah ukurannya menjadi `288x512` (Lebar x Tinggi), yaitu rasio `9:16` <br> * `Terapkan VOI LUT` : menerapkan fungsi VOI LUT dari DICOM <br> * `Perbaiki interpretasi MONOCHROME1` : melakukan inversi negatif jika gambar DICOM dalam interpretasi MONOCHROME1 <br> * `Padding ke rasio aspek 9:16` : padding sehingga gambar tidak terdistorsi saat diubah ukurannya <br> * `Pemangkasan ROI Payudara` : memangkas hanya wilayah payudara dari gambar, mengurangi piksel yang tidak terpakai"
"apply_voi_lut","en","Apply VOI LUT"
"apply_voi_lut","id","Terapkan VOI LUT"
"fix_monochrome","en","Fix MONOCHROME1 interpretation"
"fix_monochrome","id","Perbaiki interpretasi MONOCHROME1"
"padding_aspect_ratio","en","Padding to 9:16 aspect-ratio"
"padding_aspect_ratio","id","Padding ke rasio aspek 9:16"
"breast_roi_crop","en","Breast ROI Crop"
"breast_roi_crop","id","Pemangkasan ROI Payudara"
"accordion3_label","en","Image Adjustment Options"
"accordion3_label","id","Opsi Penyesuaian Gambar"
"accordion3_desc","en","**INFO** : This will apply on both images"
"accordion3_desc","id","**INFO** : Ini akan diterapkan pada kedua gambar"
"contrast","en","adjust contrast"
"contrast","id","sesuaikan kontras"
"brightness","en","adjust brightness"
"brightness","id","sesuaikan kecerahan"
"reset_adjustment","en","Reset Adjustment"
"reset_adjustment","id","Atur Ulang Penyesuaian"
